"","UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1","296257","Super amazing food and unique concept of serving food.They have a very amazing drink called mystery Mellon .. do try tht and they also have a gaming concept of mystery rooms I have also played game .. seriously new concept .. ",5,"2019-05-10 22:20:51",1,141,0
"2","43917","Play escape game and then get lost in yummylicious food!
One of the very few cafe in Hyderabad which serve great food, good hospitality and kitch interiors 
Had a great great time... must visit for every millennial 
Don’t forgetting to try Mystery Melon",5,"2019-05-10 22:18:12",4,175,0
"3","49462468","A really awesome cafe besides Mystery Rooms. 
Food 5/5
Staff 5/5
Ambience 5/5
Music 5/5
The movie wallpapers are a cherry on the cake.
Must try.!!!",5,"2019-05-10 14:09:25",109,1004,0
"4","71844402","One of the must visit places if you stay near Gachibowli. The place has one of the best decors. The food is equally tasty. We have ordered on Melon Masquerade juice which was something out of the world. Their food presentation along is the taste is incredibly good. There are other game rooms as well.",4,"2019-05-06 13:46:56",1,0,2
"5","34792721","It's an awesome place with a different theme, the food is toooo good, and mouth Watering mutton biryani such a yummy dish and fingerlicking, my kid enjoyed a lot in a nice place with different themes, it's a good place where we can spend around some time with family, and the good thing is no alcohol 😀 and the waiters are very good supportive, and definitely will go again on some other time and the last but not least is the gaming things where we can enjoy with our friends or with office colleagues during lunch outings",4,"2019-05-05 18:15:00",5,4,0
"6","63908160","Amazing place, must visit. The staff was courteous and the place has many gaming options including UNO, chess, x&0, etc. They have very good book collection including Harry Potter series, to kill a mokingbird, etc. We had dessert and beverage- taste and presentation was good.",5,"2019-05-05 01:22:51",2,0,0
"7","350625","We celebrated our daughter's birthday today. Selected this venue because of the excellent ambience and value for money packages. The service was top class and food is of high quality. I strongly recommend this place",5,"2019-05-04 22:28:14",4,0,0
"8","968170","Went here for a team outing. Had some good fun and then good food to sum it up. Mocktails were average, food was excellent. Service could be better.",4,"2019-04-22 23:24:35",26,191,1
"9","50322312","Great n colourful ambience with funky seating In love with the ambience and decor. Cmng to food I loved the mocktails , waffles and chilli paneer as I ate those . Good for kids 👍 gaming's and paintings were insane in the cafe.",4,"2019-04-22 22:34:27",6,2,0
"10","43404922","Masquerade by Mystery Rooms is the first of its kind novelty cafe in the city that is a complete entertainment package full of fun, games and mystery (and lip smacking food that doesn't burn a hole in your pocket 😋)
Play board games, read a book, engage your kids in fun video games or a duel of darts, this place has it all. Framed super hero posters, a lovely ambience in yellow and green and a huge screen to live stream your favourite sports - do I go on or you need more reasons to visit?
The menu is extensive and a great mix of different cuisines - don't miss the delectable nachos, chipotle cheesy paneer and fish tikka, the flavorful Thai green curry and the range of milkshakes.
The star of the menu though undoubtedly is the Masquerade Mystery Melon - a freshing thick milkshake with some mysterious flavours - oreo, walnuts, jellies, bananas - the shake seemed to have it all! 🍈
With the summer holidays approaching, you've got a great new place in the city that you can explore and make multiple visits to with your friends and family.",5,"2019-04-17 10:05:43",5,30,4
